word,weight
junk,-9.203853872490697
br br must,9.197612023188952
money,-9.193073940552255
much better than,9.182554219901684
is great,9.177991745135047
moving,9.177085778837323
appears,-9.167422580039302
and how,9.145552288068856
brain,-9.132619429064615
just wasn,-9.130502390865862
idea,-9.116508958424241
whoopi,9.08584071123979
uninteresting,-9.065349921244964
chavez,9.058261638437074
smiling,9.057098994963495
enjoyed,9.032947026479663
not bad,9.002605818669455
sensitive,8.97246685650499
tiresome,-8.970457095358324
of the best,8.969531405152644
ride,8.955858028722876
superbly,8.951176880406656
unlike,8.940829486242523
seen,8.92818884287181
10 out,8.918724421240869
blah,-8.90031301103969
vance,8.878352396966184
seen movie,-8.835001958031063
stupidity,-8.826284587584944
in black,8.824320495752207
too many,-8.805542168590572
glad,8.802050715905143
least,-8.794447552505087
