id,StateDesc,CityName,1P:No Annual Checkup:Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,3O:Arthritis:Arthritis among adults aged >=18 Years,2B:Binge Drinking:Binge drinking among adults aged >=18 Years,3O:Chronic Pulmonary Disease:Chronic obstructive pulmonary disease among adults aged >=18 Years,3O:Cancer:Cancer (excluding skin cancer) among adults aged >=18 Years,1P:No Cholesterol Screening:Cholesterol screening among adults aged >=18 Years,3O:Chronic Kidney Disease:Chronic kidney disease among adults aged >=18 Years,"1P:No Colorectal Cancer Screening:Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years","1P:No Preventive services-older men:Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening","1P:No Preventive services-older women:Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",3O:Coronary Heart Disease:Coronary heart disease among adults aged >=18 Years,3O:Asthma:Current asthma among adults aged >=18 Years,2B:Current Smoking:Current smoking among adults aged >=18 Years,1P:No Dental Visit:Visits to dentist or dental clinic among adults aged >=18 Years,3O:Diabetes:Diagnosed diabetes among adults aged >=18 Years,1P:No Health Insurance:Current lack of health insurance among adults aged 18–64 Years,3O:High Blood Pressure:High blood pressure among adults aged >=18 Years,3O:High Cholesterol:High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1P:No Mammography:Mammography use among women aged 50–74 Years,3O:Mental Health:Mental health not good for >=14 days among adults aged >=18 Years,2B:Obesity:Obesity among adults aged >=18 Years,1P:No Pap Smear Test:Papanicolaou smear use among adult women aged 21–65 Years,3O:Physical Health:Physical health not good for >=14 days among adults aged >=18 Years,2B:Physical Inactivity:No leisure-time physical activity among adults aged >=18 Years,2B:Sleep < 7 hours:Sleeping less than 7 hours among adults aged >=18 Years,3O:Stroke:Stroke among adults aged >=18 Years,1P:Not Taking BP Medication:Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,3O:All Teeth Lost:All teeth lost among adults aged >=65 Years,CityFIPS,PopulationCount,health_score,city_ascii,state_name,lat,lng,county_fips,county_name,cz,czname,statename,stateabbrv_x,life_q1_f,life_q2_f,life_q3_f,life_q4_f,life_q1_m,life_q2_m,life_q3_m,life_q4_m,expectancy_f,expectancy_m,"4L:Life Expectancy Top 25%:Life expectancy in years, Top Quartile Income","4L:Life Expectancy Bottom 25%:Life expectancy in years, Bottom Quartile Income",4L:Life Expectancy Average: Average Life Expectancy in Years,disparity_m,disparity_f,disparity_avg,FIPS,stateabbrv_y,health_rank
241,Illinois,Elgin,34.400000000000006,20.2,20.5,5.3,5.1,28.299999999999997,2.3,44.1,67.3,72.7,5.0,8.8,17.5,38.4,9.3,18.0,27.4,35.1,30.0,12.1,33.1,19.599999999999994,11.8,27.4,35.7,2.5,28.200000000000003,15.8,1723074,108188,56,Elgin,Illinois,42.0372487,-88.2811895,17089,Kane,24300.0,Chicago,Illinois,IL,82.41,83.84,85.15,87.27,77.71,79.75,81.97,84.59,84.7,81.0,85.9,80.1,82.8,6.9,4.9,5.8,17089,IL,290
242,Florida,Clearwater,27.299999999999997,27.8,16.6,8.1,7.9,21.200000000000003,3.0,35.400000000000006,65.1,66.9,7.7,8.7,20.3,41.6,11.1,19.099999999999994,33.1,36.4,24.200000000000003,13.3,26.4,22.099999999999994,14.3,27.3,36.0,3.7,21.200000000000003,15.0,1212875,107685,51,Clearwater,Florida,27.9658533,-82.8001026,12103,Pinellas,6700.0,Tampa,Florida,FL,81.8,83.76,85.89,87.6,75.69,79.24,81.98,84.71,84.8,80.4,86.2,78.7,82.6,9.0,5.8,7.5,12103,FL,339
243,Florida,Miami Gardens,23.0,23.4,13.5,7.3,5.1,26.799999999999997,3.4,40.1,79.4,77.8,6.7,10.4,22.4,46.7,14.7,27.0,37.6,35.8,21.400000000000006,16.0,33.3,21.0,16.0,35.7,43.6,4.4,20.299999999999997,18.0,1245060,107167,35,Miami Gardens,Florida,25.942037699999997,-80.2456045,12086,Miami-Dade,7000.0,Miami,Florida,FL,85.77,85.77,86.37,87.54,79.96,81.59,82.79,85.14,86.4,82.4,86.3,82.9,84.4,5.2,1.8,3.4,12086,FL,468
244,Minnesota,Rochester,36.2,20.1,19.9,4.3,6.5,25.799999999999997,2.2,29.200000000000003,64.6,65.7,4.7,7.5,15.0,28.0,7.1,7.900000000000006,23.0,31.0,19.099999999999994,8.9,27.3,15.200000000000003,9.2,21.7,29.5,2.4,24.099999999999994,9.2,2754880,106769,78,Rochester,Minnesota,44.0216306,-92.46989920000001,27109,Olmsted,21701.0,Rochester,Minnesota,MN,83.03,86.37,88.17,89.34,77.76,81.86,85.14,86.59,86.7,82.8,88.0,80.4,84.8,8.8,6.3,7.6,27109,MN,65
245,Colorado,Pueblo,37.3,28.6,14.3,6.6,6.6,29.099999999999994,3.4,47.0,67.8,69.7,6.8,9.8,18.6,44.1,11.0,22.299999999999997,31.6,37.6,30.900000000000006,12.5,29.9,23.099999999999994,15.0,25.3,34.2,3.6,26.700000000000003,15.5,0862000,106595,46,Pueblo,Colorado,38.2544472,-104.60914100000001,08101,Pueblo,28502.0,Pueblo,Colorado,CO,81.69,84.28,86.01,86.72,76.35,80.84,82.84,85.51,84.7,81.4,86.1,79.0,83.1,9.2,5.0,7.1,08101,CO,403
246,Massachusetts,Lowell,26.700000000000003,21.3,15.5,6.7,5.2,28.900000000000006,2.4,37.0,71.0,73.3,5.3,10.7,20.3,40.0,9.7,12.299999999999997,28.3,34.8,20.900000000000006,14.7,25.1,22.200000000000003,12.4,30.8,38.7,2.8,24.799999999999997,23.0,2537000,106519,59,Lowell,Massachusetts,42.633424700000006,-71.3161718,25017,Middlesex,20500.0,Boston,Massachusetts,MA,83.18,84.25,86.02,87.92,78.15,80.49,82.94,85.63,85.3,81.8,86.8,80.7,83.6,7.5,4.7,6.1,25017,MA,248
247,North Carolina,Wilmington,30.400000000000006,23.9,17.5,6.6,6.3,25.599999999999994,2.7,32.7,59.7,60.4,6.0,8.8,19.1,35.099999999999994,9.1,18.400000000000006,29.1,33.3,19.799999999999997,12.9,26.7,18.599999999999994,12.5,24.3,31.8,3.2,23.099999999999994,15.7,3774440,106476,63,Wilmington,North Carolina,34.2257256,-77.9447102,37129,New Hanover,1500.0,Wilmington,North Carolina,NC,81.98,84.38,85.26,87.97,75.11,80.31,82.79,85.22,84.9,80.9,86.6,78.5,82.9,10.1,6.0,8.1,37129,NC,211
248,Colorado,Arvada,37.3,24.7,16.6,5.2,7.1,22.099999999999994,2.3,35.3,58.9,64.2,4.8,8.9,16.0,30.299999999999997,6.5,10.299999999999997,25.0,33.1,30.0,10.0,21.0,16.299999999999997,10.6,17.4,26.4,2.5,29.0,9.7,0803455,106433,78,Arvada,Colorado,39.802764399999994,-105.08748419999999,08059,Jefferson,28900.0,Denver,Colorado,CO,82.53,84.81,86.4,88.43,77.78,81.14,83.83,86.51,85.5,82.3,87.5,80.2,83.9,8.7,5.9,7.3,08059,CO,74
249,California,San Buenaventura (Ventura),34.099999999999994,21.0,17.4,5.1,6.6,22.099999999999994,2.5,35.3,71.4,71.6,5.1,8.4,12.4,30.799999999999997,8.5,10.900000000000006,27.8,33.2,22.799999999999997,11.4,23.0,16.200000000000003,11.4,18.5,28.9,2.5,28.599999999999994,9.2,0665042,106433,73,San Buenaventura (Ventura),California,34.267504200000005,-119.2548257,06111,Ventura,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06111,CA,111
250,Colorado,Westminster,41.2,20.8,18.4,4.5,5.5,25.400000000000006,2.0,37.2,62.5,66.0,4.0,8.9,16.5,31.5,6.3,12.5,22.5,30.6,28.900000000000006,10.3,22.3,17.400000000000006,9.7,18.3,29.4,2.1,33.099999999999994,12.4,0883835,106114,78,Westminster,Colorado,39.836652799999996,-105.03720459999998,08001,Adams,28900.0,Denver,Colorado,CO,82.53,84.81,86.4,88.43,77.78,81.14,83.83,86.51,85.5,82.3,87.5,80.2,83.9,8.7,5.9,7.3,08001,CO,72
251,California,West Covina,34.0,16.6,16.1,3.9,5.2,23.799999999999997,2.4,41.6,76.3,74.2,4.4,7.3,11.4,36.0,10.2,14.900000000000006,26.3,33.4,21.200000000000003,10.6,21.1,20.099999999999994,10.6,20.6,36.9,2.3,29.799999999999997,8.7,0684200,106098,73,West Covina,California,34.0686208,-117.93895259999998,06037,Los Angeles,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06037,CA,117
252,Oregon,Gresham,41.0,24.5,19.3,6.3,6.0,31.799999999999997,2.6,40.1,68.2,72.9,5.4,10.2,21.3,39.7,9.6,15.099999999999994,27.1,36.1,27.900000000000006,15.0,28.1,22.599999999999994,14.3,19.4,31.2,3.1,29.0,17.6,4131250,105594,53,Gresham,Oregon,45.498175700000004,-122.43147959999999,41051,Multnomah,38801.0,Portland,Oregon,OR,82.62,84.47,86.22,87.82,77.51,81.19,83.57,85.59,85.3,82.0,86.7,80.1,83.6,8.1,5.2,6.6,41051,OR,316
253,California,Norwalk,36.3,16.5,17.4,4.2,4.7,27.900000000000006,2.5,46.0,78.0,77.3,4.6,7.9,13.4,42.0,10.8,19.900000000000006,26.0,33.0,23.099999999999994,12.6,24.8,19.900000000000006,12.4,23.2,38.0,2.4,32.7,10.9,0652526,105549,63,Norwalk,California,33.9022367,-118.08173300000001,06037,Los Angeles,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06037,CA,215
254,North Dakota,Fargo,37.1,17.8,25.6,4.6,5.3,32.8,2.1,38.1,60.7,64.1,4.3,9.2,17.3,28.700000000000003,6.2,10.599999999999994,24.1,32.5,23.5,9.5,29.8,19.099999999999994,7.9,22.4,28.7,2.1,25.299999999999997,10.6,3825700,105549,71,Fargo,North Dakota,46.8771863,-96.78980340000001,38017,Cass,26801.0,Fargo,North Dakota,ND,82.74,85.36,86.97,87.81,76.21,81.22,84.26,85.99,85.7,81.9,86.9,79.5,83.8,9.8,5.1,7.4,38017,ND,137
255,California,Carlsbad,33.0,19.8,19.2,4.4,7.3,18.200000000000003,2.4,32.099999999999994,67.5,69.4,4.7,7.6,10.2,26.700000000000003,7.0,6.599999999999994,26.0,32.8,20.900000000000006,9.4,20.7,14.799999999999997,9.5,14.4,31.3,2.3,28.599999999999994,7.0,0611194,105328,84,Carlsbad,California,33.158093300000004,-117.3505939,06073,San Diego,38000.0,San Diego,California,CA,84.62,85.45,86.76,87.85,79.64,81.2,83.31,85.93,86.2,82.5,86.9,82.1,84.4,6.3,3.2,4.8,06073,CA,31
256,California,Fairfield,36.1,19.7,18.0,5.2,5.4,26.900000000000006,2.4,38.6,73.3,72.1,5.0,9.1,14.6,37.0,9.6,13.0,28.0,32.5,24.599999999999994,12.3,27.4,20.900000000000006,12.2,21.2,35.4,2.7,30.5,12.3,0623182,105321,65,Fairfield,California,38.2493581,-122.03996629999999,06095,Solano,37800.0,San Francisco,California,CA,84.56,85.18,86.35,88.11,79.71,81.49,83.31,85.79,86.1,82.6,87.0,82.1,84.4,6.1,3.5,4.9,06095,CA,194
257,Massachusetts,Cambridge,26.799999999999997,14.8,19.0,3.4,4.5,27.0,1.8,26.299999999999997,66.6,68.2,3.1,9.7,12.5,26.799999999999997,5.5,6.400000000000006,20.4,26.7,16.200000000000003,10.5,20.0,15.5,7.0,19.9,33.6,1.6,29.200000000000003,12.4,2511000,105162,93,Cambridge,Massachusetts,42.375097,-71.10560790000001,25017,Middlesex,20500.0,Boston,Massachusetts,MA,83.18,84.25,86.02,87.92,78.15,80.49,82.94,85.63,85.3,81.8,86.8,80.7,83.6,7.5,4.7,6.1,25017,MA,6
258,Texas,Wichita Falls,29.400000000000006,22.9,16.6,6.7,5.8,30.299999999999997,2.6,40.7,68.7,68.6,6.2,8.9,19.6,40.1,10.2,21.0,32.0,37.9,27.099999999999994,11.8,33.7,23.799999999999997,12.6,31.5,32.9,3.1,24.5,16.8,4879000,104553,49,Wichita Falls,Texas,33.913708500000006,-98.49338730000001,48485,Wichita,32601.0,Wichita Falls,Texas,TX,79.0,81.98,84.18,87.45,74.08,79.1,81.58,85.51,83.2,80.1,86.5,76.5,81.6,11.4,8.5,10.0,48485,TX,360
259,North Carolina,High Point,27.599999999999994,25.5,14.3,7.3,6.2,23.599999999999994,2.9,35.3,63.0,64.7,6.7,9.5,21.7,42.8,11.3,21.400000000000006,35.5,37.3,22.5,13.5,32.6,20.299999999999997,14.3,28.5,35.1,3.8,23.700000000000003,19.4,3731400,104371,49,High Point,North Carolina,35.9556924,-80.0053176,37081,Guilford,500.0,Greensboro,North Carolina,NC,81.49,84.17,85.82,87.68,75.15,79.14,82.42,85.04,84.8,80.4,86.4,78.3,82.6,9.9,6.2,8.1,37081,NC,363
260,Montana,Billings,35.7,25.4,20.3,5.9,7.2,28.099999999999994,2.6,40.8,61.5,66.9,5.8,8.9,18.8,37.0,7.8,14.200000000000003,28.8,32.6,29.200000000000003,11.3,25.9,21.299999999999997,11.7,23.3,29.5,3.0,25.900000000000006,15.9,3006550,104170,62,Billings,Montana,45.783285600000006,-108.50069040000001,30111,Yellowstone,34308.0,Billings,Montana,MT,82.0,84.53,86.38,88.85,76.99,81.41,84.7,86.35,85.4,82.4,87.6,79.5,83.9,9.4,6.8,8.1,30111,MT,224
261,Wisconsin,Green Bay,30.799999999999997,22.6,24.0,6.1,6.0,28.0,2.5,35.0,66.2,72.7,5.9,9.9,21.4,32.900000000000006,8.5,12.599999999999994,29.9,34.8,23.200000000000003,12.5,32.6,18.5,12.6,24.0,31.9,2.9,27.799999999999997,15.5,5531000,104057,56,Green Bay,Wisconsin,44.519159,-88.019826,55009,Brown,22601.0,Green Bay,Wisconsin,WI,81.77,85.56,86.63,87.66,76.67,81.34,84.23,84.92,85.4,81.8,86.3,79.2,83.6,8.2,5.9,7.1,55009,WI,285
262,Utah,West Jordan,43.0,16.4,16.2,3.6,4.4,34.3,1.9,32.900000000000006,65.6,67.0,3.1,9.6,11.5,32.7,6.3,13.799999999999997,20.0,29.9,28.099999999999994,11.8,25.0,19.299999999999997,9.5,21.0,33.0,1.7,37.6,11.7,4982950,103712,81,West Jordan,Utah,40.6096698,-111.9391031,49035,Salt Lake,36100.0,Salt Lake City,Utah,UT,82.44,84.88,86.4,88.93,76.98,81.11,84.03,86.42,85.7,82.1,87.7,79.7,83.9,9.4,6.5,8.0,49035,UT,49
263,California,Richmond,33.5,20.6,15.3,5.3,5.2,28.299999999999997,2.8,40.6,75.3,76.5,5.2,9.5,15.8,42.1,11.5,17.099999999999994,30.0,33.9,23.099999999999994,13.3,27.1,20.5,13.6,22.9,40.0,3.2,29.299999999999997,14.4,0660620,103701,58,Richmond,California,37.9357576,-122.3477486,06013,Contra Costa,37800.0,San Francisco,California,CA,84.56,85.18,86.35,88.11,79.71,81.49,83.31,85.79,86.1,82.6,87.0,82.1,84.4,6.1,3.5,4.9,06013,CA,257
264,California,Murrieta,35.7,18.9,19.5,4.7,5.8,24.0,2.2,35.900000000000006,71.6,68.9,4.6,8.3,14.0,30.700000000000003,7.8,10.0,26.4,31.5,20.900000000000006,11.6,24.6,16.400000000000006,10.6,19.8,36.0,2.3,32.099999999999994,9.5,0650076,103466,74,Murrieta,California,33.553914299999995,-117.21392320000001,06065,Riverside,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06065,CA,105
265,California,Burbank,34.5,18.4,18.9,4.6,6.3,20.799999999999997,2.3,36.4,72.6,71.4,4.6,8.0,12.6,30.400000000000006,8.1,9.799999999999997,25.4,32.1,20.799999999999997,11.0,21.1,16.5,10.3,17.6,34.3,2.4,30.799999999999997,7.7,0608954,103340,78,Burbank,California,34.18083920000001,-118.30896609999998,06037,Los Angeles,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06037,CA,76
266,Florida,Palm Bay,26.799999999999997,27.1,15.4,8.3,7.0,22.0,3.0,37.8,68.8,70.9,7.3,9.1,21.3,41.9,12.0,19.700000000000003,33.5,39.4,24.599999999999994,14.5,33.1,21.0,15.0,28.2,39.0,3.6,21.099999999999994,16.0,1254000,103190,44,Palm Bay,Florida,28.034462100000006,-80.5886646,12009,Brevard,7300.0,Palm Bay,Florida,FL,82.21,83.97,86.0,87.57,75.95,79.81,81.99,84.73,84.9,80.6,86.2,79.1,82.8,8.8,5.4,7.1,12009,FL,412
267,Washington,Everett,40.4,23.8,16.6,6.5,6.0,31.900000000000006,2.6,37.2,68.1,68.3,5.5,10.4,18.4,37.6,8.4,13.400000000000006,28.6,35.9,25.799999999999997,13.1,29.9,22.0,13.1,21.4,35.9,2.7,32.3,13.0,5322640,103019,58,Everett,Washington,47.9789848,-122.2020794,53061,Snohomish,39400.0,Seattle,Washington,WA,82.57,84.67,85.99,87.92,77.46,80.71,83.24,85.73,85.3,81.8,86.8,80.0,83.6,8.3,5.4,6.8,53061,WA,260
268,Michigan,Flint,28.400000000000006,34.6,14.5,10.9,5.6,30.700000000000003,3.9,42.2,73.3,76.2,8.5,13.5,31.6,47.4,15.8,21.400000000000006,41.0,40.5,22.299999999999997,17.6,41.6,23.299999999999997,18.9,36.2,44.0,5.4,23.799999999999997,25.4,2629000,102434,15,Flint,Michigan,43.012527399999996,-83.6874562,26049,Genesee,11600.0,Detroit,Michigan,MI,79.52,83.21,85.26,86.98,73.8,78.92,81.68,84.25,83.7,79.7,85.6,76.7,81.7,10.5,7.5,8.9,26049,MI,498
269,California,Antioch,34.5,20.4,17.2,5.4,5.4,26.700000000000003,2.5,39.8,73.1,74.6,4.9,9.4,15.8,37.1,9.7,13.5,27.5,33.1,23.900000000000006,13.1,25.6,18.900000000000006,12.7,21.0,38.3,2.7,31.299999999999997,12.1,0602252,102372,64,Antioch,California,38.0049214,-121.80578899999999,06013,Contra Costa,37800.0,San Francisco,California,CA,84.56,85.18,86.35,88.11,79.71,81.49,83.31,85.79,86.1,82.6,87.0,82.1,84.4,6.1,3.5,4.9,06013,CA,209
270,Pennsylvania,Erie,28.900000000000006,29.8,18.3,8.4,6.3,30.599999999999994,2.9,40.4,68.9,71.8,7.2,10.5,25.2,42.5,11.0,15.5,31.4,35.1,28.0,14.9,34.7,26.099999999999994,14.3,31.7,36.6,3.8,23.599999999999994,21.9,4224000,101786,41,Erie,Pennsylvania,42.1292241,-80.085059,42049,Erie,16500.0,Erie,Pennsylvania,PA,81.64,84.44,86.1,87.68,75.81,80.77,82.42,84.75,85.0,80.9,86.2,78.7,83.0,8.9,6.0,7.5,42049,PA,432
271,Indiana,South Bend,33.599999999999994,27.4,14.6,8.6,6.4,30.299999999999997,3.1,45.3,71.1,73.3,7.6,10.4,23.3,45.8,12.3,19.700000000000003,36.2,37.9,32.599999999999994,14.8,36.4,26.299999999999997,15.3,31.8,40.3,4.0,23.5,21.3,1871000,101168,33,South Bend,Indiana,41.68338129999999,-86.2500066,18141,Saint Joseph,13600.0,South Bend,Indiana,IN,80.53,83.11,85.48,87.17,74.56,79.46,82.63,84.68,84.1,80.3,85.9,77.5,82.2,10.1,6.6,8.4,18141,IN,478
272,California,Daly City,34.2,15.2,13.6,3.5,5.0,24.599999999999994,2.2,40.0,74.2,70.2,4.3,6.9,10.3,33.8,9.8,11.200000000000003,27.2,32.2,23.099999999999994,9.0,17.1,24.900000000000006,9.5,19.7,35.0,2.2,27.099999999999994,8.6,0617918,101123,80,Daly City,California,37.7057657,-122.4619166,06081,San Mateo,37800.0,San Francisco,California,CA,84.56,85.18,86.35,88.11,79.71,81.49,83.31,85.79,86.1,82.6,87.0,82.1,84.4,6.1,3.5,4.9,06081,CA,52
273,Colorado,Centennial,36.1,22.2,16.5,4.1,6.8,18.299999999999997,2.2,31.799999999999997,56.4,62.0,4.1,8.2,13.1,24.099999999999994,6.3,7.799999999999997,25.7,31.9,26.900000000000006,8.7,19.1,14.700000000000003,8.5,15.6,27.9,2.1,28.599999999999994,7.7,0812815,100377,88,Centennial,Colorado,39.579155,-104.8769227,08005,Arapahoe,28900.0,Denver,Colorado,CO,82.53,84.81,86.4,88.43,77.78,81.14,83.83,86.51,85.5,82.3,87.5,80.2,83.9,8.7,5.9,7.3,08005,CO,18
274,California,Temecula,36.3,17.6,20.4,4.3,5.4,23.700000000000003,2.0,36.2,71.7,68.7,4.1,8.2,13.8,30.099999999999994,7.3,9.400000000000006,24.8,30.5,20.400000000000006,11.4,24.2,16.299999999999997,10.1,18.9,36.1,2.0,34.0,8.9,0678120,100097,78,Temecula,California,33.4936391,-117.14836480000001,06065,Riverside,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06065,CA,66
275,Texas,Odessa,34.8,19.9,17.1,5.9,5.4,30.5,2.6,45.5,70.4,70.2,5.7,8.4,17.6,46.3,10.8,27.799999999999997,30.7,35.6,28.799999999999997,12.0,33.4,22.5,13.0,31.9,35.2,2.8,25.299999999999997,16.1,4853388,99940,47,Odessa,Texas,31.8456816,-102.3676431,48135,Ector,31401.0,Midland,Texas,TX,80.46,82.7,84.01,86.0,74.99,79.04,81.44,84.07,83.3,79.9,85.0,77.7,81.6,9.1,5.5,7.3,48135,TX,388
276,Florida,West Palm Beach,25.299999999999997,24.2,16.3,7.0,6.5,23.0,3.1,35.5,67.5,72.4,6.9,9.1,16.9,39.9,11.4,22.5,31.9,37.7,24.400000000000006,13.4,28.3,19.700000000000003,13.5,23.8,39.9,3.6,22.0,13.5,1276600,99919,52,West Palm Beach,Florida,26.7153425,-80.0533746,12099,Palm Beach,7100.0,Port St. Lucie,Florida,FL,83.26,84.76,86.54,88.09,77.81,80.33,82.5,85.37,85.7,81.5,86.7,80.5,83.6,7.6,4.8,6.2,12099,FL,328
277,Texas,Round Rock,33.099999999999994,16.9,18.8,4.3,4.5,26.299999999999997,2.0,38.0,65.7,63.3,3.7,8.0,15.0,35.7,7.8,18.299999999999997,26.2,31.8,22.599999999999994,10.5,31.5,18.599999999999994,9.8,24.7,31.8,1.9,31.599999999999994,10.0,4863500,99887,72,Round Rock,Texas,30.508255100000003,-97.678896,48491,Williamson,31201.0,Austin,Texas,TX,82.97,85.36,86.69,88.15,77.92,81.33,83.22,86.28,85.8,82.2,87.2,80.4,84.0,8.4,5.2,6.8,48491,TX,127
278,Florida,Pompano Beach,27.599999999999994,26.7,14.7,8.7,7.7,23.099999999999994,3.3,39.0,70.1,74.0,8.1,8.6,20.8,43.0,13.1,24.900000000000006,36.7,40.3,25.200000000000003,14.7,30.5,22.700000000000003,16.3,32.2,38.7,4.3,22.5,14.5,1258050,99845,37,Pompano Beach,Florida,26.2378597,-80.1247667,12011,Broward,7000.0,Miami,Florida,FL,85.77,85.77,86.37,87.54,79.96,81.59,82.79,85.14,86.4,82.4,86.3,82.9,84.4,5.2,1.8,3.4,12011,FL,460
279,Iowa,Davenport,30.799999999999997,26.2,20.0,6.0,6.6,28.599999999999994,2.5,37.3,65.4,66.3,5.8,8.8,19.6,32.400000000000006,9.1,10.599999999999994,29.2,36.7,22.5,11.2,35.7,18.799999999999997,11.1,28.5,32.9,2.9,22.900000000000006,14.7,1919000,99685,57,Davenport,Iowa,41.5236437,-90.57763670000001,19163,Scott,23801.0,Davenport,Illinois,IL,80.67,84.11,85.85,87.13,75.35,79.74,82.48,85.05,84.4,80.7,86.1,78.0,82.6,9.7,6.5,8.1,19163,IA,266
280,California,Santa Maria,40.4,18.4,17.1,5.9,4.8,36.0,2.8,48.2,75.5,76.3,5.6,9.2,16.7,48.4,11.0,26.900000000000006,27.9,34.5,27.200000000000003,15.3,29.3,23.799999999999997,15.7,26.9,35.9,3.0,34.900000000000006,17.2,0669196,99553,48,Santa Maria,California,34.953033700000006,-120.43571909999999,06083,Santa Barbara,38200.0,Santa Barbara,California,CA,84.73,85.27,86.78,88.77,80.11,82.31,84.19,86.27,86.4,83.2,87.5,82.4,84.8,6.2,4.0,5.1,06083,CA,379
281,California,El Cajon,36.9,21.0,18.2,6.9,6.0,29.599999999999994,2.8,43.3,72.3,75.8,5.7,9.3,17.9,44.6,9.4,15.799999999999997,28.4,34.4,26.700000000000003,14.5,26.7,22.599999999999994,14.7,21.8,36.9,3.3,31.200000000000003,14.6,0621712,99478,55,El Cajon,California,32.7947731,-116.96252690000001,06073,San Diego,38000.0,San Diego,California,CA,84.62,85.45,86.76,87.85,79.64,81.2,83.31,85.93,86.2,82.5,86.9,82.1,84.4,6.3,3.2,4.8,06073,CA,300
282,Texas,Richardson,31.900000000000006,19.3,17.3,4.7,6.1,23.900000000000006,2.3,34.8,62.9,62.5,4.9,7.5,12.8,31.0,8.4,15.400000000000006,28.3,36.3,21.799999999999997,8.9,27.4,20.200000000000003,9.3,24.2,30.8,2.3,24.599999999999994,9.1,4861796,99223,72,Richardson,Texas,32.9481789,-96.7297206,48113,Dallas,33100.0,Dallas,Texas,TX,82.06,83.97,85.71,87.64,77.48,79.62,81.98,85.18,84.8,81.1,86.4,79.8,82.9,7.7,5.6,6.6,48113,TX,120
283,Wisconsin,Kenosha,32.3,23.1,22.2,5.8,5.9,27.700000000000003,2.5,36.5,71.2,71.1,5.7,9.9,20.7,36.7,8.5,12.799999999999997,28.8,34.6,25.0,12.3,33.3,18.400000000000006,12.6,26.0,33.5,2.9,27.299999999999997,17.4,5539225,99218,56,Kenosha,Wisconsin,42.5847425,-87.8211854,55059,Kenosha,24000.0,Kenosha,Wisconsin,WI,80.25,84.22,85.47,87.26,74.99,79.58,82.37,84.34,84.3,80.3,85.8,77.6,82.3,9.4,7.0,8.2,55059,WI,288
284,California,Rialto,35.400000000000006,18.8,16.0,5.2,4.2,31.400000000000006,2.7,46.9,76.1,77.9,4.9,9.5,17.1,49.1,11.3,22.0,29.2,34.0,24.799999999999997,14.6,33.2,19.599999999999994,14.9,28.0,39.4,2.9,34.099999999999994,17.0,0660466,99171,51,Rialto,California,34.1064001,-117.37032350000001,06071,San Bernardino,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06071,CA,338
285,Oklahoma,Broken Arrow,34.3,23.4,14.4,5.9,6.1,24.5,2.2,37.3,58.6,58.5,5.6,8.9,19.0,38.3,8.4,11.5,31.5,35.5,31.200000000000003,11.8,30.4,20.5,11.2,28.5,34.2,2.5,24.700000000000003,13.8,4009050,98850,63,Broken Arrow,Oklahoma,36.0565467,-95.81460259,40143,Tulsa,30402.0,Tulsa,Oklahoma,OK,79.78,82.53,85.11,86.82,74.4,79.0,81.81,84.09,83.6,79.8,85.5,77.1,81.7,9.7,7.0,8.4,40143,OK,217
286,Michigan,Dearborn,30.099999999999994,28.4,21.1,9.4,6.9,26.099999999999994,3.0,37.4,65.4,70.2,7.4,10.5,26.4,35.900000000000006,9.3,14.900000000000006,32.6,38.6,24.299999999999997,15.0,31.3,22.900000000000006,14.8,27.0,38.5,3.6,25.799999999999997,15.0,2621000,98153,43,Dearborn,Michigan,42.3222599,-83.1763145,26163,Wayne,11600.0,Detroit,Michigan,MI,79.52,83.21,85.26,86.98,73.8,78.92,81.68,84.25,83.7,79.7,85.6,76.7,81.7,10.5,7.5,8.9,26163,MI,420
