id,StateDesc,CityName,1P:No Annual Checkup:Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,3O:Arthritis:Arthritis among adults aged >=18 Years,2B:Binge Drinking:Binge drinking among adults aged >=18 Years,3O:Chronic Pulmonary Disease:Chronic obstructive pulmonary disease among adults aged >=18 Years,3O:Cancer:Cancer (excluding skin cancer) among adults aged >=18 Years,1P:No Cholesterol Screening:Cholesterol screening among adults aged >=18 Years,3O:Chronic Kidney Disease:Chronic kidney disease among adults aged >=18 Years,"1P:No Colorectal Cancer Screening:Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years","1P:No Preventive services-older men:Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening","1P:No Preventive services-older women:Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",3O:Coronary Heart Disease:Coronary heart disease among adults aged >=18 Years,3O:Asthma:Current asthma among adults aged >=18 Years,2B:Current Smoking:Current smoking among adults aged >=18 Years,1P:No Dental Visit:Visits to dentist or dental clinic among adults aged >=18 Years,3O:Diabetes:Diagnosed diabetes among adults aged >=18 Years,1P:No Health Insurance:Current lack of health insurance among adults aged 18–64 Years,3O:High Blood Pressure:High blood pressure among adults aged >=18 Years,3O:High Cholesterol:High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1P:No Mammography:Mammography use among women aged 50–74 Years,3O:Mental Health:Mental health not good for >=14 days among adults aged >=18 Years,2B:Obesity:Obesity among adults aged >=18 Years,1P:No Pap Smear Test:Papanicolaou smear use among adult women aged 21–65 Years,3O:Physical Health:Physical health not good for >=14 days among adults aged >=18 Years,2B:Physical Inactivity:No leisure-time physical activity among adults aged >=18 Years,2B:Sleep < 7 hours:Sleeping less than 7 hours among adults aged >=18 Years,3O:Stroke:Stroke among adults aged >=18 Years,1P:Not Taking BP Medication:Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,3O:All Teeth Lost:All teeth lost among adults aged >=65 Years,CityFIPS,PopulationCount,health_score,city_ascii,state_name,lat,lng,county_fips,county_name,cz,czname,statename,stateabbrv_x,life_q1_f,life_q2_f,life_q3_f,life_q4_f,life_q1_m,life_q2_m,life_q3_m,life_q4_m,expectancy_f,expectancy_m,"4L:Life Expectancy Top 25%:Life expectancy in years, Top Quartile Income","4L:Life Expectancy Bottom 25%:Life expectancy in years, Bottom Quartile Income",4L:Life Expectancy Average: Average Life Expectancy in Years,disparity_m,disparity_f,disparity_avg,FIPS,stateabbrv_y,health_rank
127,Virginia,Newport News,23.799999999999997,23.5,15.6,6.1,5.5,24.599999999999994,2.5,35.7,65.3,67.4,5.2,9.4,21.7,36.3,10.9,15.799999999999997,34.0,33.6,20.700000000000003,12.5,33.2,16.5,11.6,28.2,41.6,3.2,24.200000000000003,15.3,5156000,180719,57,Newport News,Virginia,36.9787588,-76.428003,51700,Newport News (city),2500.0,Newport News,Virginia,VA,81.51,84.22,85.21,87.94,74.3,78.95,82.14,85.11,84.7,80.1,86.5,77.9,82.4,10.8,6.4,8.6,51700,VA,269
128,Alabama,Huntsville,26.700000000000003,27.5,11.8,7.6,6.6,23.200000000000003,2.8,35.0,60.5,63.4,6.5,9.8,19.1,39.3,11.5,15.099999999999994,36.8,38.9,23.099999999999994,13.3,33.8,17.599999999999994,13.3,26.9,39.2,3.4,21.0,14.9,0137000,180105,53,Huntsville,Alabama,34.730368799999994,-86.5861037,01089,Madison,6000.0,Huntsville,Alabama,AL,80.94,84.2,85.35,86.6,73.9,78.78,81.82,84.32,84.3,79.7,85.5,77.4,82.0,10.4,5.7,8.1,01089,AL,314
129,Tennessee,Knoxville,30.0,26.6,11.9,8.3,6.1,26.900000000000006,2.7,38.5,62.1,61.3,6.5,10.3,23.2,43.7,10.6,16.700000000000003,34.9,36.5,23.200000000000003,15.8,33.1,18.799999999999997,15.1,29.0,38.3,3.3,23.799999999999997,21.4,4740000,178874,49,Knoxville,Tennessee,35.96063839999999,-83.9207392,47093,Knox,302.0,Knoxville,Tennessee,TN,80.88,83.72,85.7,88.33,74.51,79.54,83.13,85.45,84.7,80.7,86.9,77.7,82.7,10.9,7.5,9.2,47093,TN,366
130,Rhode Island,Providence,21.099999999999994,20.1,15.6,6.2,4.7,31.0,2.6,39.7,70.2,71.8,5.2,11.9,19.2,40.7,9.9,18.799999999999997,28.2,30.9,19.299999999999997,15.7,29.3,19.5,14.4,32.9,41.9,2.8,26.700000000000003,19.0,4459000,178042,57,Providence,Rhode Island,41.8239891,-71.4128343,44007,Providence,20401.0,Providence,Rhode Island,RI,83.09,85.09,86.47,87.89,77.04,80.52,82.96,85.3,85.6,81.5,86.6,80.1,83.6,8.3,4.8,6.5,44007,RI,273
131,California,Santa Clarita,35.099999999999994,17.5,19.9,4.4,5.8,21.5,2.1,36.6,72.8,70.6,4.1,8.1,12.8,30.400000000000006,7.7,10.5,24.3,31.4,20.400000000000006,11.3,21.8,15.900000000000006,10.1,17.5,34.8,2.1,32.7,7.4,0669088,176320,79,Santa Clarita,California,34.3916641,-118.54258600000001,06037,Los Angeles,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06037,CA,62
132,Texas,Grand Prairie,34.2,18.2,17.8,5.3,4.5,30.400000000000006,2.4,42.7,68.3,69.1,4.7,8.5,17.1,43.1,10.1,26.5,29.0,34.6,24.299999999999997,11.7,33.7,21.599999999999994,12.0,31.2,35.6,2.5,28.299999999999997,15.5,4830464,175396,54,Grand Prairie,Texas,32.7459645,-96.99778459999999,48113,Dallas,33100.0,Dallas,Texas,TX,82.06,83.97,85.71,87.64,77.48,79.62,81.98,85.18,84.8,81.1,86.4,79.8,82.9,7.7,5.6,6.6,48113,TX,310
133,Texas,Brownsville,37.0,19.3,14.1,6.0,4.3,35.3,3.7,56.0,73.0,80.1,6.8,8.3,15.4,55.8,15.5,44.5,32.0,38.2,35.400000000000006,13.9,37.5,28.400000000000006,17.3,37.2,35.1,3.4,25.900000000000006,19.6,4810768,175023,27,Brownsville,Texas,25.9017472,-97.4974838,48061,Cameron,31600.0,Brownsville,Texas,TX,86.0,85.85,86.08,87.68,81.09,82.43,83.25,84.69,86.4,82.9,86.2,83.5,84.6,3.6,1.7,2.7,48061,TX,488
134,Mississippi,Jackson,20.900000000000006,25.3,10.6,6.7,5.3,28.700000000000003,3.3,42.2,66.7,70.9,6.4,10.1,23.1,50.6,14.8,23.0,43.9,34.7,26.0,15.3,39.5,18.900000000000006,15.5,37.9,43.6,4.7,20.799999999999997,24.0,2836000,173514,34,Jackson,Mississippi,32.298757300000005,-90.1848103,28049,Hinds,3003.0,Jackson,Mississippi,MS,81.31,83.78,86.47,87.27,74.32,79.09,82.22,83.71,84.7,79.8,85.5,77.8,82.2,9.4,6.0,7.7,28049,MS,473
135,Kansas,Overland Park,28.900000000000006,20.6,16.9,4.0,6.7,20.200000000000003,2.2,30.900000000000006,55.3,62.9,4.8,7.9,11.7,21.400000000000006,7.4,9.0,26.7,37.2,20.099999999999994,7.8,27.7,13.900000000000006,7.2,18.7,26.5,2.1,23.599999999999994,8.7,2053775,173372,83,Overland Park,Kansas,38.9822282,-94.6707917,20091,Johnson,29502.0,Kansas City,Missouri,MO,80.33,83.83,85.75,87.55,75.08,79.4,82.09,85.15,84.4,80.4,86.4,77.7,82.4,10.1,7.2,8.7,20091,KS,38
136,California,Garden Grove,35.900000000000006,16.3,14.1,4.8,4.8,28.900000000000006,2.4,46.1,77.4,73.7,5.1,7.6,14.5,42.0,10.9,17.299999999999997,27.2,35.9,22.700000000000003,12.2,19.7,27.799999999999997,12.8,23.4,35.8,2.7,29.599999999999994,11.8,0629000,170883,64,Garden Grove,California,33.773905299999996,-117.9414477,06059,Orange,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06059,CA,205
137,California,Santa Rosa,35.099999999999994,21.3,19.1,5.6,6.7,25.099999999999994,2.5,36.7,69.9,70.1,5.3,9.0,14.4,33.2,8.4,12.200000000000003,27.6,33.4,21.799999999999997,12.1,23.2,17.700000000000003,12.0,19.0,30.7,2.7,30.099999999999994,9.5,0670098,167815,69,Santa Rosa,California,38.4404675,-122.7144314,06097,Sonoma,37700.0,Santa Rosa,California,CA,82.65,84.43,85.83,88.07,79.07,81.57,83.7,85.79,85.2,82.5,86.9,80.9,83.8,6.7,5.4,6.0,06097,CA,159
138,Tennessee,Chattanooga,25.200000000000003,28.1,10.4,9.0,6.5,23.599999999999994,3.2,39.2,65.3,65.4,7.6,10.6,24.7,45.5,13.7,17.799999999999997,40.1,37.8,23.400000000000006,15.5,32.7,18.200000000000003,16.8,32.6,37.4,4.2,19.900000000000006,22.3,4714000,167674,40,Chattanooga,Tennessee,35.0456297,-85.3096801,47065,Hamilton,6401.0,Chattanooga,Tennessee,TN,81.05,84.37,86.12,87.48,74.44,79.22,81.86,85.01,84.8,80.1,86.2,77.7,82.4,10.6,6.4,8.5,47065,TN,445
139,California,Oceanside,35.400000000000006,19.5,18.7,5.3,6.2,26.5,2.6,38.8,70.7,73.3,5.1,8.3,13.8,37.9,8.7,13.799999999999997,27.0,33.4,24.0,12.0,24.2,19.099999999999994,12.1,19.1,35.1,2.8,30.099999999999994,11.1,0653322,167086,67,Oceanside,California,33.1958696,-117.3794834,06073,San Diego,38000.0,San Diego,California,CA,84.62,85.45,86.76,87.85,79.64,81.2,83.31,85.93,86.2,82.5,86.9,82.1,84.4,6.3,3.2,4.8,06073,CA,181
140,Florida,Fort Lauderdale,27.799999999999997,24.0,16.3,7.2,6.9,21.299999999999997,3.0,36.5,69.2,72.0,6.8,8.3,18.8,38.3,11.8,20.200000000000003,34.0,38.1,23.200000000000003,13.5,29.4,20.400000000000006,14.1,28.5,37.9,3.6,23.5,12.1,1224000,165521,50,Fort Lauderdale,Florida,26.122308399999998,-80.14337859999999,12011,Broward,7000.0,Miami,Florida,FL,85.77,85.77,86.37,87.54,79.96,81.59,82.79,85.14,86.4,82.4,86.3,82.9,84.4,5.2,1.8,3.4,12011,FL,345
141,California,Rancho Cucamonga,33.7,17.6,18.1,4.1,4.9,22.799999999999997,2.1,36.4,70.2,70.4,3.9,8.3,13.2,32.8,8.0,10.5,25.8,31.9,20.599999999999994,11.0,26.2,15.099999999999994,10.3,20.1,35.3,2.0,33.599999999999994,8.9,0659451,165269,77,Rancho Cucamonga,California,34.1063989,-117.5931084,06071,San Bernardino,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06071,CA,78
